IDSERVICIOHABITACION;IDHABITACION
1;372276
5;448019
3;346509
4;340221
3;214796
5;477864
5;372743
1;337641
3;222166
4;152959
1;451164
1;144798
5;390319
4;16158
3;431480
2;119017
3;310394
3;425996
5;355639
3;403522
3;96149
4;124752
4;5259
2;225740
4;118607
2;261538
5;396499
4;178325
5;6650
4;205381
4;481196
3;417169
5;161331
5;174396
3;407858
4;269537
4;275379
4;442061
1;119926
1;227424
5;320506
1;88126
1;241833
5;424648
2;160832
4;22984
1;187073
5;231060
2;183314
4;328420
5;340004
3;417572
4;32580
5;483186
4;29058
5;343363
5;100563
5;52271
4;51764
5;277513
5;288869
2;174619
4;22473
2;434335
5;317481
3;123097
3;176728
4;224013
2;342238
2;332860
5;48620
3;53009
2;231653
5;88993
2;305798
1;298178
5;486225
4;332939
5;277356
2;432509
5;319630
2;418819
3;100812
1;49729
3;357474
5;270218
1;397020
4;184578
5;443918
3;216205
4;272800
1;13278
2;191481
4;17111
1;58255
4;2141
4;236573
4;440415
4;36067
4;338802
1;207988
2;228725
2;95024
5;46436
1;392526
4;309054
4;194444
2;85855
1;108299
1;488708
2;425703
5;393825
4;70408
5;251385
3;253114
3;140923
3;22814
5;309850
5;131388
5;18072
5;478237
5;49246
3;75497
3;472445
4;335262
2;192692
4;126469
3;417099
4;418176
2;208285
5;119262
3;158056
5;177769
2;11540
3;283642
4;467479
2;297260
3;318370
4;287818
2;15255
4;281188
3;398051
4;385727
3;98436
5;31785
1;35839
4;151112
3;207337
2;320297
4;165911
3;22764
5;111957
5;293086
2;14556
3;372297
4;439195
1;461032
4;277105
1;25943
1;329802
1;58984
2;427110
1;307385
3;176095
2;285902
4;201688
2;36711
5;363563
4;435455
3;476786
1;24762
3;464683
5;69539
5;294676
5;481249
1;431338
2;11989
5;215956
4;44376
4;470850
4;115061
4;279447
1;483230
4;30395
5;219813
2;481689
2;286332
1;496498
1;187365
3;284857
5;436343
4;155459
4;124445
5;35172
4;376172
1;424968
5;484491
5;313624
3;251184
2;67506
2;91365
5;477405
1;454094
5;374971
5;214892
3;381599
1;103360
5;460622
2;330404
1;41363
5;34243
2;151584
4;259024
1;5881
2;449633
5;14942
5;253876
4;441441
1;439125
4;19217
2;457367
1;15024
2;213252
3;84763
2;298808
1;273622
1;357517
1;423323
1;101200
1;262935
5;77757
2;224883
1;469669
1;449716
1;84524
1;140558
3;486166
1;10321
1;218216
4;445926
3;171001
5;159437
5;375237
4;335533
3;173763
1;226885
1;138971
3;311842
3;207141
2;421510
4;283506
4;459064
4;303675
2;434206
1;267233
1;251414
1;189523
1;23878
1;458364
4;414604
1;180231
2;314698
1;330787
4;249995
4;352624
5;257905
1;45834
5;365879
3;232576
5;225583
2;398088
1;168201
3;225614
1;316102
5;12119
4;432964
4;293909
5;129245
5;223056
4;270933
1;337227
1;340097
1;47294
5;215792
4;251580
3;207801
3;469038
1;97919
4;73499
2;325041
1;76084
1;255426
3;283936
1;364901
3;332737
4;396481
4;497118
1;465399
1;228430
4;208493
2;196765
3;259053
2;428173
1;356558
1;405739
3;479082
1;448884
5;469309
2;72068
2;145411
2;488878
2;373295
1;339931
3;251787
2;212239
1;243108
1;268327
2;159114
3;366945
3;369606
5;364032
2;164478
5;387379
3;219531
2;448584
5;182174
2;203313
1;349732
3;410066
4;490706
2;131568
2;238549
2;253408
5;276038
2;209664
5;365537
5;30534
4;59813
4;163246
1;115959
3;344573
1;420880
5;201976
2;31840
2;104881
3;423975
5;346763
4;325874
5;374138
5;308040
5;153667
1;417985
4;377112
5;342891
2;481056
1;232470
5;13255
3;450164
4;234862
1;464519
5;278497
1;141472
4;72618
3;277541
5;17917
1;26069
1;202961
2;197897
5;132290
4;483895
1;333855
1;95191
4;249589
2;312986
2;151875
3;37531
4;219092
4;96088
3;366730
3;111432
5;175414
1;226371
2;423174
2;324698
5;116386
5;133682
4;63314
5;51717
3;316051
5;94480
4;281180
2;296811
4;231163
4;95624
3;364027
1;494276
1;74204
1;25503
2;409130
2;23523
1;258413
5;326256
4;162309
5;226942
1;178115
5;304606
4;242109
3;245799
5;217650
4;38523
5;449521
2;122264
5;185431
4;73231
1;18234
4;93480
2;368358
1;132184
2;46995
5;222661
5;492264
4;60087
4;228401
5;375476
5;73913
3;17809
2;29760
3;396792
4;62643
3;342872
5;24561
1;452658
3;133784
3;342418
3;129879
3;455347
1;26197
1;118936
3;156087
5;489818
1;107429
1;146818
1;110114
1;216988
4;306265
2;120684
4;51633
3;363114
1;472099
4;160653
2;299780
4;42518
4;386665
1;71583
1;110138
5;245806
4;158873
1;178066
5;177126
4;453515
1;153918
3;410322
2;157288
4;96087
1;282243
3;462874
2;172799
2;37316
4;300937
5;232555
2;488088
3;259657
3;288588
5;125836
4;386475
2;160635
5;176820
1;209629
3;32019
5;414721
4;371312
3;164340
5;279408
5;314782
5;395775
5;300477
1;298899
4;450040
2;286662
1;274113
1;261804
5;25103
4;8955
4;484472
3;358433
1;361888
3;363305
5;350704
5;439561
2;311707
1;494189
3;139494
4;330323
5;482020
2;378425
3;80409
1;54356
2;7426
3;205736
5;87346
2;146728
1;271368
2;46121
3;268934
5;428198
2;324526
5;277227
4;203588
5;240653
2;426343
3;372491
4;447482
2;46630
4;216621
3;330354
4;290548
4;125210
3;67629
5;54395
2;342222
5;227389
3;484994
4;436245
4;283034
1;289159
4;60954
3;405186
5;162011
3;118161
3;86139
3;249830
4;318950
4;278017
3;1554
5;91282
3;136914
5;138260
5;2416
5;247725
4;98138
5;303290
2;53802
1;165254
4;486033
4;187500
2;264639
5;358720
1;277231
5;272756
3;191096
5;2938
5;367249
1;229373
4;224037
4;288676
4;217152
1;66966
2;327589
2;331715
2;389640
1;118156
5;210507
5;458236
1;128584
1;251967
3;291424
5;137113
5;330784
3;366620
1;386430
5;4433
2;358236
4;293275
2;318992
4;349770
1;40666
2;433076
2;209588
2;205860
1;323864
5;189180
5;244767
5;148335
3;231422
3;132348
5;18216
3;464547
1;78283
5;259510
2;433863
2;437441
5;390383
1;462002
3;231437
2;369319
1;451885
4;437512
4;68568
5;39869
2;202885
4;321016
2;43287
1;217656
3;131166
1;4534
2;373886
1;272011
1;311195
1;233321
2;309686
5;311149
3;286430
2;205739
2;454605
4;213231
1;153943
3;491028
2;223790
3;365902
3;373016
1;444289
4;417653
3;442832
3;417534
5;168013
5;3981
4;13839
1;227173
2;103749
4;138328
1;366235
4;73544
4;458219
1;385315
5;301948
4;467719
1;269088
5;24928
2;72127
4;429072
4;394604
4;259146
1;54332
5;483048
1;443672
5;3441
5;383807
4;457616
2;157773
4;54820
1;85694
2;268411
1;99003
5;104811
1;180776
4;243806
3;74093
5;78112
3;125266
1;474059
5;118616
5;219917
2;369326
5;212495
2;352520
4;361882
3;416398
5;458930
2;246286
4;107998
3;150377
3;188846
5;436750
2;37643
1;218009
5;157013
3;316857
1;72246
3;390413
1;50254
1;42009
2;118352
2;324694
3;416277
1;444405
2;133121
2;305384
2;225936
2;245591
1;470867
1;279785
3;300988
1;182971
5;158865
4;174698
4;61162
3;104447
5;146857
4;143269
3;364634
5;288266
5;341363
4;129784
1;277823
5;376255
3;286747
1;27299
3;22696
2;55386
3;121531
3;211400
2;447951
2;472310
4;2136
5;287185
2;238941
3;139888
3;219393
5;53814
5;62453
1;427855
5;144823
5;446112
4;204663
5;25490
1;457301
3;34736
2;409437
5;378989
2;245190
1;179425
4;281464
5;281963
5;301372
4;428625
3;60950
1;290094
5;369306
4;89362
4;107376
1;130041
2;99682
4;309495
1;156633
4;471614
3;456813
2;362037
4;186664
5;172429
3;477500
1;465926
3;158539
2;225366
1;440297
3;340809
1;332837
2;15766
3;83818
1;100266
5;350777
3;264651
4;354055
3;481032
5;349965
5;258091
2;10709
4;354974
1;117353
4;60934
1;419551
5;70186
4;353005
3;307393
4;26293
3;353430
1;350945
4;189112
3;460633
2;175814
2;387075
4;355853
2;308865
3;402504
2;175075
5;405165
1;65521
2;166084
4;359200
1;310163
1;4978
1;152255
2;374882
5;431660
4;407806
2;351160
2;62099
5;470679
3;285989
3;461316
3;358431
1;139778
2;338071
2;384249
5;397412
5;385959
2;42496
5;325736
1;157297
3;208680
4;398165
3;391612
5;2195
2;186376
5;89380
3;302080
1;88888
4;294582
3;263530
2;306645
1;228015
1;238041
4;113733
3;388422
4;149761
4;73405
1;174016
3;176575
2;472551
3;71896
1;165460
